Autor,Fecha,Hora,nrolikes,nrodislikes,nroComentarios,texto
Anónimo,June 10 2020,12:39 p.m.,21,3,0,"Voy a confesar que me gusta mucho Kaira M. de FIEC. 😍
Tiene carita de enojona, pero le suele salir una linda sonrisa. iMe vuelves loco hermosa! Contigo me casaría
💖 :3"
Anónimo,June 10 2020,10:45 a.m.,18,3,0,"Confieso que me cambié de Auto a Mecatrónica, y quiero regresar a mi carrera inicial. No entiendo nada de mecánica, y las materias de Mecatrónica son nuevas y tienen profesores malísimos. Ya puedo oler mis RP."
Anónimo,June 9 2020,2:15 p.m.,2,1,0,"Les tengo una anécdota,  así como muchos (ya los veo👀) ,me daba pereza sacar la parte abajo de licuadora , hasta que en una clase de Alimentos y Bebidas ,materia de mi carrera , lave la licuadora sin sacarle la parte de abajo ,licuamos lo que teníamos que licuar  y que creen ? , cuando otro grupo en la misma clase la utilizó y esta vez la chica si hizo lo que tenía que hacer, desenroscar la parte de abajo de la licuadora,  dijo wuacala hay un gusano 🤢🤮 , mi cara de😱 🙃😖, para eso la profesora ya había probado nuestro plato🤐. Por suerte no escucho la profesora , y la chica preguntando quién la utilizó antes yo callaita 🤐😓, después me reprobaban.   Jajajaja que asco lo siento mucho miss.
 moraleja ahora si la desarmó toda,  consta que los alumnos no lavaban bien los instrumentos de cocina, por fa lavenlos bien si no quieren comerse un gusanito 🐛."
Anónimo,June 9 2020,9:32 a.m.,5,0,0,"Hago esta confesión porque no sé dónde hallar LA respuesta.
Desde hace poco más de un año empecé a trabajar a la vez que estudiaba. Estaba por el segundo semestre. La razón fueron los problemas económicos que habían en mi familia, nos llegaron a embargar un bien que eraparte fundamental para subsistir y a mi papá lo dejaron sin posibilidades para trabajar. Así que trabajé y trabajé. Me atrasé en la carrera pero no aflojé las materias porque no quería desistir y así avanzara poco, avance es avance. Estábamos apenas saliendo adelante, así que había pronosticado renunciar a mi trabajo (que por cierto es una tienda con horario de centro comercial) antes de entrar al nuevo semestre para dedicarme a la u, pero esta crisis nos golpeó de nuevo. Soy el único sustento de una familia de 4. Estoy matriculada pero es demasiado difícil para mi mantener las 2 cosas. Tengo un jefe que es nuevo con el que no me está yendo muy bien. Soy la única que estudia aquí y han sacado personal. Gracias a Diosito no me botaron pero este señor me tiene en la mira y bueno, se esta agarrando de mis estudios y estando aquí me conecto a las clases en mi hora de almuerzo y de allí subo mi laptop para continuar pero casi no puedo prestar atención. Mis papás quieren que continúe y estoy tratando pero juro que esta a punto de darme una parálisis facial jajaja. Se que a ellos les afecta que deje de estudiar este semestre por este motivo pero necesitamos de mi trabajo así que no sé que hacer. Realizo esta confesión hoy porque puedo retirar las materias hasta el miércoles. Bueno, eso es todo. Le he pedido a Dios una señal pero se está haciendo el loco, así que me tome unos minutos porque como estudiantes saben que de por sí la u es un chance difícil. En fin, gracias por la atención"
Anónimo,June 8 2020,11:40 p.m.,2,0,0,"Sé que todo el mundo esta en casita y todo bien, pero por favor pónganle mute a su gallo cuando entren a clases."
Anónimo,June 8 2020,11:01 p.m.,7,1,0,"#CONFESIÓN

Quiero consejos ☹
Como se olvida un amor que fue verdadero, como dejas de pensar, de soñar? Se que dirán: el tiempo es lo mejor, pero ya va mucho y la verdad estoy cansado 😕"
Anónimo,June 8 2020,2:15 p.m.,3,0,0,"Quiero decir que este tema del covid y la cuarentena ha sido terrible y yo sé que todos tenemos nuestros problemas, en mi caso mi padre no tiene trabajo, mi mamá ha Estado enfermándose frecuentemente, y ahora con el inicio de clases el estrés ha incrementado porque mis hermanos también tienen clases no solamente yo, y bueno, espero que ustedes la pasen mejor y que salgamos de esto pronto."
Anónimo,June 8 2020,5:18 a.m.,5,0,0,"Primera vez que publico, así que tratare de mantenerlo corto en la medida de lo posible.

Tengo muchas historias para contar de mis ""relaciones"" que se han vuelto anécdotas, que van desde terminarme por ser de diferentes religiones hasta decirme ""después de este tiempo que llevamos saliendo no se que siento por ti :'v "" 

Pero de la que les hablare el dia de hoy es un tanto extraña o eso creo yo.
Todo comienza un dia que estaba esperando a la chica con la que salia (vamos a llamarla ""D"")
Yo y D ibamos a celebrar un mes de aniversario y la invite a comer a un lugar que me gusta mucho.
La cosa es que cuando llego la hora pactada no aparecia.
Yo soy de las personas que se preocupan por todo pero decidi esperar. Paso 1 hora y no llegaba tampoco contesto el telefono.
1 hora y 40 mins despues la vi subir por las escaleras. Mas que enojado estaba preocupado y la abraze preguntandole si le habia sucedido algo (la conocia bastante bien,demasiado diria yo, y por su expresion supe que algo habia pasado).

-D: Prometeme que no te vas a enojar.
-Yo: Eso le decidire yo, asi que cuentame que paso. 
La cuestion es que ella tenia un chico que para efectos de esta narracion solo vamos a decir que la ""acosaba""
Ella me dijo que lo habia rechazado varias veces aun cuando yo no estaba con ella, pero que el insistia y demas cosas. 
-Yo: Te pregunto. Por que me cuentas sobre este tipo? 
-D: La cosa es que me lo encontre al salir del trabajo y se ofrecio a traerme para aca, sabiendo que me iba a reunir contigo(yo), pero en el transcurso se puso a decirme muchas cosas e incomodarme. Cuando llegamos no me queria dejar bajar del carro y se puso a llorar diciendo que por que no le acepto a salir a el y a mi si.

Yo al escuchar eso me enoje muchisimo. Pero no lo expresa ni con gestos ni reaccionando de alguna manera. Solo queria que me siga narrando los hechos 
-D: Discúlpame de verdad se que no debería haberle aceptado que me trajera.
-Yo: Basta, no necesitas disculparte, nunca te lo pedí. Pero debes pensar en lo que haces, no por mi, por lo que puedes generar en los demás.
-D: Lo se pero pensé que el ya había cambiado y no pensaba de mi de esa manera
-Yo: La gente no cambia solo....
Suena el teléfono de D 
Ella contesta y noto claramente que era ese sujeto (Voy a llamarlo para esta historia ""Perro"")
D le decía a Perro que dejara de llamarla por que la iba a meter en problemas.
No se que tipo de problemas se refería por que yo nunca le había reclamado por ese tipo de cosas pero bueno.
Ella colgó y el tipo siguió llamando varias veces y yo la vi angustiada y casi llorando.
Yo la verdad me enoje muchísimo por que era nuestro aniversario, mierda, y que se arruinara de esta manera.
Le pedí el teléfono que yo quería hablar 
Y me lo dio solo con la condición de no decir nada malo.
(Yo nunca insulte delante de ella, me gusta cuidar mi imagen)
Conteste y pude escuchar una voz un tanto triste y prácticamente llorando me hablo.
-Perro: Puedo hablar con D
-Yo: No amigo, ella esta aquí conmigo y estas arruinando el día, te voy a pedir que dejes de llamar 

Colgué y supuse que terminaría todo.
Pero siguió llamando insistentemente mas de 10 veces
Conteste 
-Yo: Quieres dejar de llamar de una buena vez, te lo estoy pidiendo de una buena manera
-Perro: *llorando* por favor déjame hablar con ella solo 5 mins
-Yo: No, y deja de insistir, das asco.

Colgué y apague el teléfono

Estuve 10 mins con ella hablando sobre todo esto y como me molestaba que ella no media sus acciones.
O sea me refiero que yo no era quien para impedirle con quien hablar pero si sabe que alguien tiene interés por ti uno no le da falsas esperanzas pero bueno.

Antes que pueda terminar de hablar ella miro a mi espalda y casi se desmaya
-D: Por favor no voltees, por favor no digas nada

Yo sabiendo que es lo que estaba pasando, no hice caso y voltee.
Pude ver a una persona con los ojos llorosos y la mirada en el suelo a unos 10 metros de nosotros
Solo lo mire y la regrese a ver a ella.
-D: Por favor no digas nada

JAJAJA yo la verdad por dentro estaba hecho un caos 
y como soy una persona muy nerviosa (No de miedo, solo que era una situación en la que nunca había estado), me temblaba la boca y los brazos. Pero de alguna manera me cubrí para que no se notara.

Solo me quede parado a ver que sucedía. Observando a Perro
El tipo después de 1 min se atrevió a acercarse, mientras D me sostenía para que no diga nada 
Jajaja yo estaba a punto de reír por lo rara de la situación pero tuve que mantenerme serio y observar.

El se acerco y sin mirarme a la cara
-Perro: D por favor puedo hablar contigo
-D: No por favor vete, estas ocasionando un gran problema
(Yo parado sin decir nada, solo observando cada rasgo de Perro)
-Perro: Solo 5 mins es todo, y me iré
D me regresa a ver 
Le susurre al oído ""Tienes 5 mins, demorate 1 segundo mas y me iré"" (Bien malote :u, pero no me iba a ir jajajaj estaba buena la novela :u) 
 
Solo me retire y me senté en un banco a esperar
Estaba muy nervioso y me comenzaron a temblar las piernas, estaba ansioso por saber que iba a pasar.

Pasaron los 5 mins y pude ver como Perro se despidio y se fue.
D prácticamente llorando regresa y se sienta a mi lado
-Yo: Antes que digas algo dame 5 mins para pensar

La verdad estaba muy desconcertado de todo y tenia que recapitular lo que había ocurrido

Le dije que nos fuéramos a una mesa para poder hablar mejor.
Ya sentados ella comenzo a disculparse por todo y comenzo a llorar
(Lo siento no puedo ver llorar a una mujer o a un niño pequeño)
Yo solo le tome la mano y le dije que no debia disculparse que no hay necesidad.
La verdad habia tenido un semestre dificil y solo queria pasar un buen rato 
No esperaba que una situacion que solo aparece en esos doramas chafas me pasara en la vida real.
Estuve 30 mins hablando con ella tratando que reflexionara sobre lo que paso y a hacer bromas para que dejara de estar triste
Cuando la vi sonreir me senti completo.
Despues de eso la abraze y le dije que fueramos a comer que no necesitaba pensar en eso mas y la pasamos bien c:
PD1: Igual me termino jajajaja
PD2: A lo mejor si lees esto ya sabrás quien soy 
No digas nada y solo ríete por que lloras feo :u 
PD3: ""Perro"" agradece que no recuerdo tu cara por que te veo y te parto las piernas >:c"
Anónimo,June 7 2020,9:49 p.m.,1,0,0,"Yo sé que en el amor no se manda, y uno no decide de quién enamorarse y de quién no, esas cosas pasan, lo sé, pero si se conoce a alguien que ya tiene pareja y con el tiempo se empiezan a hacer muy amigos, a tal grado de ponerse la etiqueta de ""mejores amigos"", que se debe hacer si se empieza a sentir atracción hacia esa persona? 
Ayúdenme a aclararle esa interrogante al/la mejor amig@ de mi novi@, creo y pienso que debe estar desquisiad@ como para, durante años, tratar de hacer cosas para hacer que terminemos nuestra relación sin que nos diéramos cuenta. Durante mucho tiempo fue un secreto para todos que existía esa atracción por su parte, hasta que en algún momento decidió confesarle a mi pareja lo que sentía y siempre ha tratado de dañarnos de cualquier forma, mi pareja y yo hemos llegado a terminar nuestra relación en un par de ocasiones por su causa, a pesar de que siempre le ha dejado claro que no quiere tener nada romántico, por cuestiones laborales, personales y sentimentales, inclusive si nosotros llegáramos a terminar definitivamente. Ahora lastimosamente están en una etapa en la que no pueden dejar de frecuentar y yo la verdad dejo que mi pareja maneje esa situación porque ahora comprendí que sólo tiene  ganas de dañarnos por la manera enferma que tiene de pensar y no quiero permitirlo una vez más, no después de conocer bien como son las cosas, mi pareja me muestra todo lo que conversan y sinceramente no sé cuánta falta de cariño debe tenerse esa persona para seguir mendigando atención en el mismo lugar durante años y por plantear la propuesta de conformarse con solo sexo. Me da mucha pena que existan personas así. Me da lástima la vida que llevan por insistir en un lugar en el que no son bienvenidos. Deben sufrir mucho."
Anónimo,June 7 2020,10:30 a.m.,2,0,0,"He aquí mi aportación a la comunidad politécnica:
No tengan novia todavía, a estas alturas una vez que las mujeres consiguen novio desatan su hipergamia con el primero que les aparezca"
